x,y,z,yaw,velocity,change_flag
191.99978637695312,-133.4553680419922,0.0,-0.025599390268325806,4.3,0
193.99978637695312,-133.45626831054688,0.0,-0.025599390268325806,4.3,0
195.99978637695312,-133.4571533203125,0.0,-0.025599390268325806,4.3,0
197.99978637695312,-133.4580535888672,0.0,-0.025599390268325806,4.3,0
199.99978637695312,-133.45895385742188,0.0,-0.025599390268325806,4.3,0
201.99978637695312,-133.4598388671875,0.0,-0.025599390268325806,4.3,0
203.99978637695312,-133.4607391357422,0.0,-0.025599390268325806,4.3,0
205.99978637695312,-133.4616241455078,0.0,-0.025599390268325806,4.3,0
207.99978637695312,-133.4625244140625,0.0,-0.025599390268325806,4.3,0
209.99978637695312,-133.46340942382812,0.0,-0.025599390268325806,4.3,0
211.99978637695312,-133.4643096923828,0.0,-0.025599390268325806,4.3,0
213.99978637695312,-133.46519470214844,0.0,-0.025599390268325806,4.3,0
215.99978637695312,-133.46609497070312,0.0,-0.025599390268325806,4.3,0
217.99977111816406,-133.4669952392578,0.0,-0.025599390268325806,4.3,0
219.99977111816406,-133.46788024902344,0.0,-0.025599390268325806,4.3,0
221.99977111816406,-133.46878051757812,0.0,-0.025599390268325806,4.3,0
223.99977111816406,-133.46966552734375,0.0,-0.025599390268325806,4.3,0
225.99977111816406,-133.47056579589844,0.0,-0.025599390268325806,4.3,0
227.99977111816406,-133.47145080566406,0.0,-0.025599390268325806,4.3,0
229.99978637695312,-133.47235107421875,0.0,-0.025599390268325806,4.3,0
231.99978637695312,-133.47325134277344,0.0,-0.025599390268325806,4.3,0
233.99978637695312,-133.47413635253906,0.0,-0.025599390268325806,4.3,0
235.99978637695312,-133.47503662109375,0.0,-0.025599390268325806,4.3,0
237.99978637695312,-133.47592163085938,0.0,-0.025599390268325806,4.3,0
239.99978637695312,-133.47682189941406,0.0,-0.025599390268325806,4.3,0
241.99978637695312,-133.4777069091797,0.0,-0.025599390268325806,4.3,0
243.99978637695312,-133.47860717773438,0.0,-0.025599390268325806,4.3,0
245.99978637695312,-133.4794921875,0.0,-0.025599390268325806,4.3,0
247.99978637695312,-133.4803924560547,0.0,-0.025599390268325806,4.3,0
249.99978637695312,-133.48129272460938,0.0,-0.025599390268325806,4.3,0
251.99978637695312,-133.482177734375,0.0,-0.025599390268325806,4.3,0
253.99978637695312,-133.4830780029297,0.0,-0.025599390268325806,4.3,0
255.99977111816406,-133.4839630126953,0.0,-0.025599390268325806,4.3,0
257.9997863769531,-133.48486328125,0.0,-0.025599390268325806,4.3,0
259.9997863769531,-133.48574829101562,0.0,-0.025599390268325806,4.3,0
261.9997863769531,-133.4866485595703,0.0,-0.025599390268325806,4.3,0
263.9997863769531,-133.487548828125,0.0,-0.025599390268325806,4.3,0
265.9997863769531,-133.48843383789062,0.0,-0.025599390268325806,4.3,0
267.9997863769531,-133.4893341064453,0.0,-0.025599390268325806,4.3,0
269.9997863769531,-133.49021911621094,0.0,-0.025599390268325806,4.3,0
271.9997863769531,-133.49111938476562,0.0,-0.025599390268325806,4.3,0
273.9997863769531,-133.49200439453125,0.0,-0.025599390268325806,4.3,0
275.9997863769531,-133.49290466308594,0.0,-0.025599390268325806,4.3,0
277.9997863769531,-133.49378967285156,0.0,-0.025599390268325806,4.3,0
279.9997863769531,-133.49468994140625,0.0,-0.025599390268325806,4.3,0
281.9997863769531,-133.49559020996094,0.0,-0.025599390268325806,4.3,0
283.9997863769531,-133.49647521972656,0.0,-0.025599390268325806,4.3,0
285.9997863769531,-133.49737548828125,0.0,-0.025599390268325806,4.3,0
287.9997863769531,-133.49826049804688,0.0,-0.025599390268325806,4.3,0
289.9997863769531,-133.49916076660156,0.0,-0.025599390268325806,4.3,0
291.9997863769531,-133.5000457763672,0.0,-0.025599390268325806,4.3,0
293.9997863769531,-133.50094604492188,0.0,-0.025599390268325806,4.3,0
295.9997863769531,-133.50184631347656,0.0,-0.025599390268325806,4.3,0
297.9997863769531,-133.5027313232422,0.0,-0.025599390268325806,4.3,0
299.9997863769531,-133.50363159179688,0.0,-0.025599390268325806,4.3,0
301.9997863769531,-133.5045166015625,0.0,-0.025599390268325806,4.3,0
303.9997863769531,-133.5054168701172,0.0,-0.025599390268325806,4.3,0
305.9997863769531,-133.5063018798828,0.0,-0.025599390268325806,4.3,0
307.9997863769531,-133.5072021484375,0.0,-0.025599390268325806,4.3,0
309.9997863769531,-133.50808715820312,0.0,-0.025599390268325806,4.3,0
311.9997863769531,-133.5089874267578,0.0,-0.025599390268325806,4.3,0
313.9997863769531,-133.5098876953125,0.0,-0.025599390268325806,4.3,0
315.9997863769531,-133.51077270507812,0.0,-0.025599390268325806,4.3,0
317.9997863769531,-133.5116729736328,0.0,-0.025599390268325806,4.3,0
319.9997863769531,-133.51255798339844,0.0,-0.025599390268325806,4.3,0
321.9997863769531,-133.51345825195312,0.0,-0.025599390268325806,4.3,0
323.9997863769531,-133.51434326171875,0.0,-0.025599390268325806,4.3,0
325.9997863769531,-133.5152587890625,0.0,-0.025599390268325806,4.3,0
327.9997863769531,-133.51614379882812,0.0,-0.025599390268325806,4.3,0
330.3818664550781,-133.3172149658203,0.0,11.295858383178711,4.3,0
332.73492431640625,-132.54273986816406,0.0,25.14042854309082,4.3,0
334.8343200683594,-131.22772216796875,0.0,38.98500061035156,4.3,0
336.5510559082031,-129.46372985839844,0.0,52.3660888671875,4.3,0
337.817138671875,-127.37477111816406,0.0,65.19480895996094,4.3,0
338.5877685546875,-125.05683135986328,0.0,78.0235366821289,4.3,0
